q101b1,q101c1,q101e1,q101f1,q101g1,q101h1,q101i1,q101m1,q203,q206,q207,q211,q212,q213,q301
2,197109,1,7,2,1,1,1,6,1,7000,2,2,-1,-1
2,198507,1,8,2,1,1,2,11,1,8000,2,1,3,-1
1,197702,1,6,2,2,1,2,12,3,10000,2,2,-1,200710
2,197404,1,6,1,3,5,2,-1,-1,-1,2,2,-1,200005
2,198312,1,6,2,2,1,2,13,1,5000,2,1,3,201010
1,197904,1,5,1,2,1,1,6,1,8000,2,1,3,200604
1,197802,1,7,2,1,1,2,12,1,8000,2,1,2,-1
2,197812,3,7,2,2,1,1,13,1,5000,2,1,2,200610
2,198109,1,3,1,2,1,1,6,2,8000,2,2,-1,200811
2,197508,1,5,1,2,4,1,-1,-1,-1,2,2,-1,200808
2,197612,1,3,1,2,4,1,-1,-1,-1,4,2,-1,200010
2,198709,1,6,1,2,1,3,4,1,3000,7,1,1,200709
2,198408,1,7,1,2,1,2,4,1,3000,7,1,3,200701
2,197507,1,4,1,2,1,2,6,2,5000,2,1,2,199506
1,197501,1,7,2,2,1,1,12,3,3500,7,2,-1,199706
1,196510,1,4,1,2,1,1,6,2,5000,7,1,2,199702
2,197507,1,6,2,2,1,1,4,2,30000,7,1,1,200201
