@relation 2011CombData-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R4_predicted

@attribute predictedrate numeric
@attribute rate numeric
@attribute dis numeric
@attribute orgGDP numeric
@attribute Population numeric
@attribute Birth_Rate numeric
@attribute Avg_Life numeric
@attribute GDP_PC numeric
@attribute Unemploy_Rate numeric
@attribute Flat_Rates numeric
@attribute Price_Rates numeric
@attribute City_Income numeric
@attribute Country_income numeric
@attribute Green_Rate numeric
@attribute Disasters numeric
@attribute Stu_Rate_H numeric
@attribute Low_Income numeric
@attribute Low_Income_Insurance numeric

@data
0.001615,0,2657,57974,33032,13.71,75.11,25326,3.5,3772.47,105.9,18854.1,5231.3,6.45,411,1688,57.3,228
0.041732,0.008163,1179,31357,38154,5.71,76.38,50760,3.7,4732.65,105.2,20466.8,8296.5,9.6,291,2712,118.6,296
0.011005,0.021571,999,47377,39352,12.23,75.08,25659,3.7,4776.1,105.6,18606.1,6232.2,7.6,175,2007,84.2,254
0.000822,0.002975,1455,26133,36128,10.39,74.87,34197,4.1,4486.39,105.8,18373.9,6897.9,6.21,580,2991,137.2,252
0.010322,0.053254,1326,29880,36244,14.72,76.3,28898,1.7,8943.45,106.1,18369,6446,4.98,107,2079,17.1,250
0.075219,0.054915,218,33969,39230,10.47,74.92,31357,3.5,3432.71,105.2,18123.9,5601.4,3.25,14,2202,91.7,231
0.049536,0.02468,2006,19595,75591,6.97,80.26,82560,3.5,14603.24,105.2,36230.5,16053.8,12.23,0,3556,32.4,450
0.00171,0.007101,1727,29880,32092,12.08,72.23,19595,3.1,3318.24,105.9,14988.7,3909.4,1.63,115,2041,88.1,189
0.002418,0.016458,3027,28661,38238,14.99,72.35,30087,3.2,3548.79,105.9,15513.6,5442.2,4.41,24,1521,96,183
0.010432,0.017845,2030,16413,35309,13.02,74.97,33969,3.8,3982.85,105.7,18292.2,7119.7,7.11,18,2006,88.1,265
0.005265,0,2240,82560,41370,14.43,69.96,29522,3.8,3248.08,106.1,15603.3,4608.5,0.39,19,1082,23.5,232
0.013798,0.023797,2547,26133,38154,5.71,76.38,50760,3.7,4732.65,105.2,20466.8,8296.5,9.6,291,2712,118.6,296
0.016302,0.020964,1800,59249,38154,5.71,76.38,50760,3.7,4732.65,105.2,20466.8,8296.5,9.6,291,2712,118.6,296
0.005899,0.012439,2847,26133,33610,6.53,76.18,38460,3.7,4363.89,105.2,17796.6,7510,3.87,15,2807,115.6,228
0.018437,0.006115,1545,62290,41118,8.94,74.44,57974,3.8,3782.93,105.6,20407.6,6641.6,4.11,8,1920,84.8,299
0.016762,0.032793,434,34197,33239,13.48,74.33,26150,3,4147.7,105.2,17494.9,6891.6,4.51,660,2212,98.1,244
0.001615,0,3340,38460,33032,13.71,75.11,25326,3.5,3772.47,105.9,18854.1,5231.3,6.45,411,1688,57.3,228
0.009484,0.0025,495,28661,37618,11.5,76.46,47335,3.4,4447.73,105,22791.8,8342.1,16.56,27,2191,60.6,286
0.001674,0,1921,26150,42703,13.65,73.38,33043,4.4,3732.19,106.3,17578.9,5410,1.84,4,1912,20.8,212
0.019063,0.18323,1897,34500,45162,9.47,77.73,59249,3.1,9838.06,105.4,30970.7,13070.7,10.52,679,2218,8.8,367
0.002936,0,2792,85213,36244,14.72,76.3,28898,1.7,8943.45,106.1,18369,6446,4.98,107,2079,17.1,250
0.023039,0.036185,955,34197,35309,13.02,74.97,33969,3.8,3982.85,105.7,18292.2,7119.7,7.11,18,2006,88.1,265
0.024275,0.010453,2775,28898,75482,8.29,80.18,81658,1.4,16851.95,105.6,32903,14735.7,6.35,13,5613,11.7,430
0.004655,0.000505,2591,26150,31302,6.99,75.98,32819,4.1,3966.4,105.8,15696.2,7590.7,7.22,1,2409,155.6,240
0.001113,0.008386,1763,59249,36102,13.31,71.1,16413,3.6,3888.78,105.1,16495,4145.4,3.05,214,1254,54.3,212
0.002004,0.000524,929,59249,37618,11.5,76.46,47335,3.4,4447.73,105,22791.8,8342.1,16.56,27,2191,60.6,286
0.000738,0,2132,50760,34586,13.35,74.7,29880,4.2,3790.26,105.5,18844.1,6567.1,4.96,8844,2054,145.1,214
0.008442,0.001264,453,26150,34586,13.35,74.7,29880,4.2,3790.26,105.5,18844.1,6567.1,4.96,8844,2054,145.1,214
0.000753,0.00443,2885,33464,36102,13.31,71.1,16413,3.6,3888.78,105.1,16495,4145.4,3.05,214,1254,54.3,212
0.022144,0.027778,2240,29522,75591,6.97,80.26,82560,3.5,14603.24,105.2,36230.5,16053.8,12.23,0,3556,32.4,450
0.007001,0.032258,2342,82560,31302,6.99,75.98,32819,4.1,3966.4,105.8,15696.2,7590.7,7.22,1,2409,155.6,240
0.002455,0.000904,1321,33969,32092,12.08,72.23,19595,3.1,3318.24,105.9,14988.7,3909.4,1.63,115,2041,88.1,189
0.005774,0.002994,3383,50807,31302,6.99,75.98,32819,4.1,3966.4,105.8,15696.2,7590.7,7.22,1,2409,155.6,240
0.021945,0.032544,1240,29880,35309,13.02,74.97,33969,3.8,3982.85,105.7,18292.2,7119.7,7.11,18,2006,88.1,265
0.000845,0,2775,20077,38143,9.75,74.68,33464,3.6,4949.2,105.7,18245.2,5027.9,2.82,667,3378,84.6,284
0.028027,0.008796,1796,50760,75591,6.97,80.26,82560,3.5,14603.24,105.2,36230.5,16053.8,12.23,0,3556,32.4,450
0.00171,0.00045,1685,25659,32092,12.08,72.23,19595,3.1,3318.24,105.9,14988.7,3909.4,1.63,115,2041,88.1,189
0.000753,0,3885,26150,49464,15.39,68.17,20077,3.2,3474.51,105,16195.6,4904.3,0.29,139,1446,4.3,306
0.028403,0.031019,546,50760,31302,6.99,75.98,32819,4.1,3966.4,105.8,15696.2,7590.7,7.22,1,2409,155.6,240
0.002168,0.001214,3865,19265,38238,14.99,72.35,30087,3.2,3548.79,105.9,15513.6,5442.2,4.41,24,1521,96,183
0.001196,0,1763,50760,38143,9.75,74.68,33464,3.6,4949.2,105.7,18245.2,5027.9,2.82,667,3378,84.6,284
0.09181,0.160211,421,47335,75482,8.29,80.18,81658,1.4,16851.95,105.6,32903,14735.7,6.35,13,5613,11.7,430
0.003688,0,1471,34197,42703,13.65,73.38,33043,4.4,3732.19,106.3,17578.9,5410,1.84,4,1912,20.8,212
